Marathon Name,City,State/Country,Date,courseSlug,status,sourceUrl,note
Texas Marathon,"Kingwood, TX 01/01/2027",TX,01/01/2027,texas-marathon,no-course-map,https://www.goandrace.com/en/running-events/texas-marathon-2022-kingwood.php,event page links no course map
New Years (Day) Double Marathon,"Allen, TX 01/01/2027",TX,01/01/2027,,not-on-source,,no goandrace listing in any crawl
Revolution Run Marathon,"Kearns, UT 01/01/2027",UT,01/01/2027,,not-on-source,,no goandrace listing in any crawl
Athens Big-Fork Trail Marathon,"Big Fork, AR 01/09/2027",AR,01/09/2027,athens-marathon,in-db,,Athens Marathon
Buckeye Marathon,"Buckeye, AZ 01/09/2027",AZ,01/09/2027,buckeye-marathon,in-db,,Buckeye Marathon
State 47 Las Cruces Marathon,"Las Cruces, NM 01/09/2027",NM,01/09/2027,,not-on-source,,no goandrace listing in any crawl
San Diego Trail Runs Marathon,"San Diego, CA 01/09/2027",CA,01/09/2027,,not-on-source,,no goandrace listing in any crawl
River City Micro Marathon,"Decatur, AL 01/09/2027",AL,01/09/2027,,not-on-source,,no goandrace listing in any crawl
Lake Mead Marathon,"Boulder City, NV 01/10/2026",NV,01/10/2026,,not-on-source,,no goandrace listing in any crawl
Mobile Marathon,"Mobile, AL 01/10/2027",AL,01/10/2027,,not-on-source,,no goandrace listing in any crawl
Walt Disney World Marathon,"Orlando, FL 01/10/2027",FL,01/10/2027,walt-disney-world-marathon,in-db,,Walt Disney World Marathon
Las Vegas Marathon,"Las Vegas, NV 01/10/2027",NV,01/10/2027,,not-on-source,,no goandrace listing in any crawl
Marathon Bahamas,"Nassau, BS TBD",BS,TBD,,no-date,,"date is ""TBD"""
McAllen Marathon,"McAllen, TX 01/16/2027",TX,01/16/2027,,not-on-source,,no goandrace listing in any crawl
Daufuskie Island Marathon,"Daufuskie Island, SC 01/16/2027",SC,01/16/2027,,not-on-source,,no goandrace listing in any crawl
Florida Track Club Mary Andrews Marathon,"Hawthorne, FL 01/16/2027",FL,01/16/2027,,not-on-source,,no goandrace listing in any crawl
Mangum Marathon,"Ellerbe, NC 01/16/2027",NC,01/16/2027,,not-on-source,,no goandrace listing in any crawl
Houston Marathon,"Houston, TX 01/17/2027",TX,01/17/2027,houston-marathon,in-db,,Houston Marathon
Carlsbad Marathon,"Carlsbad, CA 01/17/2027",CA,01/17/2027,carlsbad-marathon,in-db,,Carlsbad Marathon
Redding Marathon,"Redding, CA 01/17/2027",CA,01/17/2027,,not-on-source,,no goandrace listing in any crawl
Maui Oceanfront Marathon,"Maui, HI 01/17/2027",HI,01/17/2027,maui-oceanfront-marathon,in-db,,Maui Oceanfront Marathon
Lost Dutchman Marathon,"Apache Junction, AZ 01/17/2027",AZ,01/17/2027,lost-dutchman-marathon,in-db,,Lost Dutchman Marathon
Crystal Springs Trail Run Marathon,"Woodside, CA 01/17/2027",CA,01/17/2027,crystal-springs-winter-trail-run,parser-rejected,https://www.goandrace.com/en/running-events/crystal-springs-winter-trail-run-2021-woodside.php,fetch: event page links no course map
Louisiana Marathon,"Baton Rouge, LA 01/17/2027",LA,01/17/2027,,not-on-source,,no goandrace listing in any crawl
Jekyll Island Marathon,"Jekyll Island, GA 01/17/2027",GA,01/17/2027,,not-on-source,,no goandrace listing in any crawl
Bermuda Triangle Challenge Marathon,"Hamilton, BM 01/17/2027",BM,01/17/2027,bermuda-triangle-challenge,in-db,,Bermuda Triangle Challenge
Renegade Rehab Run Marathon,"Lecanto, FL 01/18/2026",FL,01/18/2026,,not-on-source,,no goandrace listing in any crawl
Red Rock Canyon Marathon,"Las Vegas, NV 01/23/2027",NV,01/23/2027,,not-on-source,,no goandrace listing in any crawl
Sun Marathon,"Santa Clara, UT 01/23/2027",UT,01/23/2027,midnight-sun-marathon,in-db,,Midnight Sun Marathon
Icebreaker Marathon,"East Meadow, NY 01/24/2026",NY,01/24/2026,,not-on-source,,no goandrace listing in any crawl
USA Fit Marathon,"Sugar Land, TX 01/25/2026",TX,01/25/2026,,not-on-source,,no goandrace listing in any crawl
ONU Polar Bear Indoor Marathon,"Ada, OH 01/26/2025",OH,01/26/2025,,past-event,,listed 01/26/2025
Yuma Territorial Marathon,"Yuma, AZ 01/30/2027",AZ,01/30/2027,,not-on-source,,no goandrace listing in any crawl
Museum of Aviation Marathon,"Warner Robins, GA 01/31/2026",GA,01/31/2026,,not-on-source,,no goandrace listing in any crawl
Miami Marathon,"Miami, FL 01/31/2027",FL,01/31/2027,miami-marathon,in-db,,Miami Marathon
Clearwater Marathon,"Clearwater, FL 01/31/2027",FL,01/31/2027,,not-on-source,,no goandrace listing in any crawl
Town of Celebration Marathon,"Celebration, FL 01/31/2027",FL,01/31/2027,celebration-marathon,in-db,,Celebration Marathon
Big Beach Marathon,"Gulf Shores, AL 01/31/2027",AL,01/31/2027,,not-on-source,,no goandrace listing in any crawl
Warm up Columbus,"Dublin, OH 02/01/2026",OH,02/01/2026,,not-on-source,,no goandrace listing in any crawl
Surfside Beach Marathon,"Surfside, TX 02/06/2027",TX,02/06/2027,,not-on-source,,no goandrace listing in any crawl
Groundhog Day Marathon,"Grand Rapids, MI 02/06/2027",MI,02/06/2027,,not-on-source,,no goandrace listing in any crawl
Railway Marathon,"Fultondale, AL 02/06/2027",AL,02/06/2027,,not-on-source,,no goandrace listing in any crawl
Jed Smith Ultra Classic Marathon,"Sacramento, CA 02/06/2027",CA,02/06/2027,,not-on-source,,no goandrace listing in any crawl
Tallahassee Marathon,"Tallahassee, FL 02/07/2027",FL,02/07/2027,,not-on-source,,no goandrace listing in any crawl
Surf City Marathon,"Huntington Beach, CA 02/07/2027",CA,02/07/2027,,not-on-source,,no goandrace listing in any crawl
Florida Marathon,"Melbourne, FL 02/07/2027",FL,02/07/2027,,not-on-source,,no goandrace listing in any crawl
Donna Marathon,"Jacksonville Beach, FL 02/07/2027",FL,02/07/2027,,not-on-source,,no goandrace listing in any crawl
Death Valley Marathon,"Death Valley, CA 02/07/2026",CA,02/07/2026,,not-on-source,,no goandrace listing in any crawl
