Marathon Name,City,State/Country,Date
Texas Marathon,"Kingwood, TX 01/01/2027",TX,01/01/2027
New Years (Day) Double Marathon,"Allen, TX 01/01/2027",TX,01/01/2027
Revolution Run Marathon,"Kearns, UT 01/01/2027",UT,01/01/2027
Athens Big-Fork Trail Marathon,"Big Fork, AR 01/09/2027",AR,01/09/2027
Buckeye Marathon,"Buckeye, AZ 01/09/2027",AZ,01/09/2027
State 47 Las Cruces Marathon,"Las Cruces, NM 01/09/2027",NM,01/09/2027
San Diego Trail Runs Marathon,"San Diego, CA 01/09/2027",CA,01/09/2027
River City Micro Marathon,"Decatur, AL 01/09/2027",AL,01/09/2027
Lake Mead Marathon,"Boulder City, NV 01/10/2026",NV,01/10/2026
Mobile Marathon,"Mobile, AL 01/10/2027",AL,01/10/2027
Walt Disney World Marathon,"Orlando, FL 01/10/2027",FL,01/10/2027
Las Vegas Marathon,"Las Vegas, NV 01/10/2027",NV,01/10/2027
Marathon Bahamas,"Nassau, BS TBD",BS,TBD
McAllen Marathon,"McAllen, TX 01/16/2027",TX,01/16/2027
Daufuskie Island Marathon,"Daufuskie Island, SC 01/16/2027",SC,01/16/2027
Florida Track Club Mary Andrews Marathon,"Hawthorne, FL 01/16/2027",FL,01/16/2027
Mangum Marathon,"Ellerbe, NC 01/16/2027",NC,01/16/2027
Houston Marathon,"Houston, TX 01/17/2027",TX,01/17/2027
Carlsbad Marathon,"Carlsbad, CA 01/17/2027",CA,01/17/2027
Redding Marathon,"Redding, CA 01/17/2027",CA,01/17/2027
Maui Oceanfront Marathon,"Maui, HI 01/17/2027",HI,01/17/2027
Lost Dutchman Marathon,"Apache Junction, AZ 01/17/2027",AZ,01/17/2027
Crystal Springs Trail Run Marathon,"Woodside, CA 01/17/2027",CA,01/17/2027
Louisiana Marathon,"Baton Rouge, LA 01/17/2027",LA,01/17/2027
Jekyll Island Marathon,"Jekyll Island, GA 01/17/2027",GA,01/17/2027
Bermuda Triangle Challenge Marathon,"Hamilton, BM 01/17/2027",BM,01/17/2027
Renegade Rehab Run Marathon,"Lecanto, FL 01/18/2026",FL,01/18/2026
Red Rock Canyon Marathon,"Las Vegas, NV 01/23/2027",NV,01/23/2027
Sun Marathon,"Santa Clara, UT 01/23/2027",UT,01/23/2027
Icebreaker Marathon,"East Meadow, NY 01/24/2026",NY,01/24/2026
USA Fit Marathon,"Sugar Land, TX 01/25/2026",TX,01/25/2026
ONU Polar Bear Indoor Marathon,"Ada, OH 01/26/2025",OH,01/26/2025
Yuma Territorial Marathon,"Yuma, AZ 01/30/2027",AZ,01/30/2027
Museum of Aviation Marathon,"Warner Robins, GA 01/31/2026",GA,01/31/2026
Miami Marathon,"Miami, FL 01/31/2027",FL,01/31/2027
Clearwater Marathon,"Clearwater, FL 01/31/2027",FL,01/31/2027
Town of Celebration Marathon,"Celebration, FL 01/31/2027",FL,01/31/2027
Big Beach Marathon,"Gulf Shores, AL 01/31/2027",AL,01/31/2027
Warm up Columbus,"Dublin, OH 02/01/2026",OH,02/01/2026
Surfside Beach Marathon,"Surfside, TX 02/06/2027",TX,02/06/2027
Groundhog Day Marathon,"Grand Rapids, MI 02/06/2027",MI,02/06/2027
Railway Marathon,"Fultondale, AL 02/06/2027",AL,02/06/2027
Jed Smith Ultra Classic Marathon,"Sacramento, CA 02/06/2027",CA,02/06/2027
Tallahassee Marathon,"Tallahassee, FL 02/07/2027",FL,02/07/2027
Surf City Marathon,"Huntington Beach, CA 02/07/2027",CA,02/07/2027
Florida Marathon,"Melbourne, FL 02/07/2027",FL,02/07/2027
Donna Marathon,"Jacksonville Beach, FL 02/07/2027",FL,02/07/2027
Death Valley Marathon,"Death Valley, CA 02/07/2026",CA,02/07/2026
Mississippi River Marathon,"Greenville, MS 02/07/2026",MS,02/07/2026
,"St. Petersburg, FL 02/07/2027",FL,02/07/2027
Mt. Umunhum Trail Marathon,"San Jose, CA 02/07/2026",CA,02/07/2026
Papa Loco Marathon,"Conway, AR 02/08/2026",AR,02/08/2026
Harlingen Marathon,"Harlingen, TX 02/08/2026",TX,02/08/2026
Gone Loco Marathon,"Athens, TN 02/08/2026",TN,02/08/2026
Mesa Marathon,"Mesa, AZ 02/13/2027",AZ,02/13/2027
Run Oak Island Marathon,"Oak Island, NC 02/13/2027",NC,02/13/2027
Love Chocolate Marathon,"Savannah, GA 02/13/2027",GA,02/13/2027
Ft. Lauderdale A1A Marathon,"Ft. Lauderdale, FL 02/14/2027",FL,02/14/2027
Austin Marathon,"Austin, TX 02/14/2027",TX,02/14/2027
Valentines Day Massacre Marathon,"Greensboro, NC 02/14/2027",NC,02/14/2027
Fort Ebey Kettles Trail Marathon,"Whidbey Island, WA 02/14/2026",WA,02/14/2026
Rescue Rover Marathon (Dalmatian Run Fest),"Bedford, TX 02/14/2026",TX,02/14/2026
Hilton Head Island Marathon,"Hilton Head Island, SC TBD",SC,TBD
